date,predicted_energy_kwh
2025-01-01,23349.975
2025-01-02,22148.723
2025-01-03,22823.771
2025-01-04,17753.82
2025-01-05,17453.146
2025-01-06,21960.938
2025-01-07,22477.18
2025-01-08,23110.012
2025-01-09,22948.36
2025-01-10,22836.85
2025-01-11,17224.203
2025-01-12,17050.055
2025-01-13,22521.006
2025-01-14,22540.125
2025-01-15,22479.213
2025-01-16,22420.723
2025-01-17,22796.674
2025-01-18,17391.463
2025-01-19,16774.672
2025-01-20,22916.195
2025-01-21,23041.932
2025-01-22,22867.91
2025-01-23,23290.6
2025-01-24,23535.385
2025-01-25,16823.193
2025-01-26,16707.518
2025-01-27,23679.715
2025-01-28,23293.527
2025-01-29,22808.236
2025-01-30,23022.398
2025-01-31,23029.912
2025-02-01,16397.389
2025-02-02,16670.576
2025-02-03,23397.229
2025-02-04,23602.107
2025-02-05,23809.645
2025-02-06,23347.035
2025-02-07,22948.477
2025-02-08,16528.672
2025-02-09,16562.695
2025-02-10,22328.988
2025-02-11,24074.63
2025-02-12,23601.445
2025-02-13,23320.842
2025-02-14,23276.871
2025-02-15,16159.36
2025-02-16,16450.758
2025-02-17,22986.56
2025-02-18,22653.434
2025-02-19,23567.938
2025-02-20,23479.162
2025-02-21,23438.105
2025-02-22,16648.85
2025-02-23,16357.907
2025-02-24,22948.598
2025-02-25,23393.059
2025-02-26,22829.479
2025-02-27,23909.643
2025-02-28,23607.377
2025-03-01,15964.325
2025-03-02,16231.953
2025-03-03,21924.38
2025-03-04,23181.436
2025-03-05,22324.611
2025-03-06,22652.992
2025-03-07,23095.975
2025-03-08,16655.3
2025-03-09,16774.385
2025-03-10,22404.357
2025-03-11,22930.29
2025-03-12,22751.242
2025-03-13,22948.914
2025-03-14,22733.47
2025-03-15,16089.731
2025-03-16,16279.443
2025-03-17,22757.252
2025-03-18,22956.219
2025-03-19,23355.4
2025-03-20,23468.629
2025-03-21,22674.291
2025-03-22,16091.128
2025-03-23,16154.108
2025-03-24,22396.348
2025-03-25,22941.246
2025-03-26,23085.64
2025-03-27,23064.28
2025-03-28,23351.23
2025-03-29,16711.814
2025-03-30,16099.279
2025-03-31,21922.785
2025-04-01,23158.1
2025-04-02,22859.059
