month,revenue,energy_kwh,sessions,avg_price_per_kwh,weighted_price_per_kwh
2022-01-01,85420.18,167166.3,3394,0.5107189157336477,0.5109892364669195
2022-02-01,79489.65,155708.9,3120,0.5104198717948718,0.510501647625794
2022-03-01,88864.54,173678.2,3497,0.5115670574778381,0.5116620278192656
2022-04-01,83737.74,164041.3,3349,0.5106808002388773,0.5104674249716383
2022-05-01,88598.22,172824.0,3497,0.5127137546468402,0.5126499791695598
2022-06-01,84659.34,165544.1,3334,0.5112987402519497,0.5114005271102987
2022-07-01,86412.76,168716.2,3419,0.512301842644048,0.5121782022117615
2022-08-01,89249.73,175107.3,3518,0.5099829448550313,0.509685946845163
2022-09-01,82940.02,161900.3,3278,0.5125442342892008,0.5122907122469816
2022-10-01,86294.16,168846.0,3412,0.5110668229777257,0.5110820510998187
2022-11-01,86615.11,169064.8,3384,0.5122133569739953,0.5123190043107732
2022-12-01,86490.35,169230.6,3438,0.5111809191390343,0.5110798519889429
2023-01-01,222333.73,348189.1,7399,0.6385214218137586,0.638543050313752
2023-02-01,198825.83,311403.7,6632,0.6388751507840773,0.6384825549600084
2023-03-01,222223.47,347925.8,7415,0.6386190155091032,0.6387093742401397
2023-04-01,208398.66,325500.2,6917,0.6401431256324996,0.6402412655967646
2023-05-01,220442.46,344668.8,7326,0.6392833742833743,0.6395776467147593
2023-06-01,215385.72,337619.1,7131,0.638199411022297,0.6379547839562395
2023-07-01,218331.44,341915.4,7233,0.6385953269735932,0.6385539814819688
2023-08-01,220983.88,345707.2,7401,0.6391176867990812,0.6392226716712871
2023-09-01,211980.63,331204.2,7037,0.6398976836720194,0.6400300177352823
2023-10-01,216000.7,338190.4,7216,0.6388497782705099,0.63869553955405
2023-11-01,214017.4,334708.0,7154,0.6390550740844283,0.6394152515028024
2023-12-01,218850.0,342092.6,7271,0.6397785724109476,0.6397390648029219
2024-01-01,388646.92,661078.7,14295,0.5880167890870934,0.58789811258478
2024-02-01,365665.48,622462.0,13404,0.5875634139062966,0.5874502861218838
2024-03-01,377347.17,641777.7,13880,0.5878739193083573,0.5879717696641688
2024-04-01,372737.53,634036.4,13701,0.5881497700897744,0.5878803330534336
2024-05-01,390512.97,663524.7,14305,0.5886773855295352,0.5885432298149564
2024-06-01,372830.01,633430.4,13606,0.5885572541525798,0.5885887541867267
2024-07-01,386160.0,657837.4,14209,0.5872510380744599,0.587014359475457
2024-08-01,382067.21,649546.4,14037,0.588127092683622,0.5882061851162596
2024-09-01,370415.87,629857.3,13531,0.5879173749168576,0.5880949065764578
2024-10-01,389664.09,663301.1,14354,0.5876647624355581,0.5874618480204541
2024-11-01,370663.48,631309.7,13681,0.5871010891016739,0.5871341435114968
2024-12-01,387843.67,659631.5,14249,0.5879416099375395,0.5879702076083388
